Nama,Jenis Khodam
Joko,Khodam Kelinci Hitam
Bagus,Khodam Burung Merah
Juna,Khodam Tikus Putih
Zeni,Khodam Katak Merah
Juna,Khodam Ular Air
Dewi,Khodam Tikus Hitam
Helga,Khodam Rusa Berbunga
Fahmi,Khodam Tikus Putih
Zul,Khodam Bebek Hijau
Nani,Khodam Naga Hitam
Jamil,Khodam Kijang Penyelam
Hendra,Khodam Naga Kecil
Yoga,Khodam Ular Besar
Gita,Khodam Harimau Kecil
Caca,Khodam Kelinci Bersepatu
Xeni,Khodam Kelinci Merah
Erwin,Khodam Kuda Besar
Elisa,Khodam Serigala Biru
Bella,Khodam Harimau Besar
Made,Khodam Harimau Hitam
Prasetyo,Khodam Kelinci Hitam
Qory,Khodam Tikus Pelompat
Rika,Khodam Tikus Hitam
Budi,Khodam Semut Raksasa
Ujang,Khodam Tikus Biru
Quila,Khodam Kuda Terbang
Zeni,Khodam Ular Pelangi
Kiki,Khodam Laba-laba Berpendar
Galih,Khodam Naga Merah
Darma,Khodam Kambing Bercahaya
Rosa,Khodam Serigala Biru
Yusuf,Khodam Kuda Kecil
Olivia,Khodam Serigala Hitam
Wahyu,Khodam Kuda Hijau
Citra,Khodam Tupai Penari
Fajar,Khodam Serigala Hitam
Xena,Khodam Singa Pencium Bunga
Jamil,Khodam Serigala Kecil
Joko,Khodam Tikus Pelompat
Maya,Khodam Katak Merah
Putu,Khodam Kuda Laut Menari
Nina,Khodam Katak Merah
Mita,Khodam Singa Besar
Made,Khodam Singa Hijau
Vero,Khodam Kupu-kupu Bercahaya
Pandu,Khodam Ayam Petarung
Imam,Khodam Kucing Ajaib
Tasya,Khodam Serigala Api
Nando,Khodam Katak Air
Zaki,Khodam Kodok Berwarna
Helga,Khodam Kucing Ajaib
Quila,Khodam Burung Hantu
Qisya,Khodam Ular Merah
Zeni,Khodam Ular Merah
Usman,Khodam Serigala Kecil
Zeni,Khodam Katak Biru
Lukas,Khodam Burung Berkicau
Yusuf,Khodam Tikus Hijau
Mita,Khodam Kelinci Merah
Putra,Khodam Katak Air
Sinta,Khodam Kura-kura Bersayap
Lila,Khodam Lebah Penerang
Putra,Khodam Burung Merah
Rara,Khodam Kelinci Kecil
Naufal,Khodam Harimau Hitam
Lutfi,Khodam Lebah Penerang
Sigit,Khodam Ular Besar
Wira,Khodam Panda Kecil
Faisal,Khodam Serigala Putih
Adam,Khodam Tikus Pelompat
Quila,Khodam Tikus Kecil
Dewi,Khodam Harimau Biru
Ika,Khodam Serigala Api
Vega,Khodam Tikus Api
Yusuf,Khodam Tikus Api
Mila,Khodam Naga Kecil
Xander,Khodam Kuda Kecil
Budi,Khodam Burung Berkicau
Usman,Khodam Buaya Biru
Jamil,Khodam Tikus Api
Ali,Khodam Kucing Besar
Lila,Khodam Serigala Air
Sinta,Khodam Serigala Kecil
Ahmad,Khodam Tikus Besar
Zul,Khodam Domba Emas
Zeni,Khodam Naga Kecil
Melati,Khodam Singa Besar
Putu,Khodam Harimau Biru
Cahya,Khodam Lebah Penerang
Yusuf,Khodam Naga Api
Olivia,Khodam Kuda Air
Uut,Khodam Buaya Biru
Gita,Khodam Naga Merah
Dewi,Khodam Serigala Biru
Xena,Khodam Kelinci Biru
Vicky,Khodam Burung Merah
Yola,Khodam Harimau Kecil
Vicky,Khodam Naga Merah
Rian,Khodam Katak Bersinar
Hendra,Khodam Singa Pencium Bunga
Nina,Khodam Naga Air
Hendra,Khodam Serigala Api
Nadia,Khodam Kelinci Kecil
Dani,Khodam Burung Merah
Vero,Khodam Gajah Mini
Olga,Khodam Katak Hijau
Mita,Khodam Kuda Terbang
Yola,Khodam Ular Air
Ahmad,Khodam Singa Pencium Bunga
Lukas,Khodam Buaya Biru
Fajar,Khodam Kelinci Biru
Joko,Khodam Naga Air
Sari,Khodam Singa Hijau
Vega,Khodam Kelinci Biru
Dodo,Khodam Kucing Besar
Yusuf,Khodam Naga Air
Joko,Khodam Singa Hijau
Bagus,Khodam Serigala Hitam
Cinta,Khodam Panda Kecil
Kiki,Khodam Bebek Berbulu Warna-warni
Wira,Khodam Kuda Besar
Olga,Khodam Tikus Besar
Putu,Khodam Katak Hitam
Elang,Khodam Naga Air
Zahra,Khodam Kambing Bercahaya
Helga,Khodam Kucing Besar
Xaverius,Khodam Ular Pelangi
Wina,Khodam Kelinci Merah
Zeni,Khodam Tikus Air
Adam,Khodam Buaya Pemintal
Gandi,Khodam Singa Kecil
Xena,Khodam Naga Hitam
Qory,Khodam Naga Hitam
Prasetyo,Khodam Naga Merah
Qisya,Khodam Burung Merah
Wira,Khodam Serigala Air
Eko,Khodam Tupai Penari
Mila,Khodam Kelinci Kecil
Made,Khodam Kelinci Kecil
Gita,Khodam Naga Kecil
Xeni,Khodam Kura-kura Bersayap
Xander,Khodam Naga Hijau
Xena,Khodam Kucing Ajaib
Ahmad,Khodam Serigala Putih
Lia,Khodam Kelinci Hitam
Yusuf,Khodam Naga Hijau
Qisya,Khodam Ular Pelangi
Zahra,Khodam Kambing Bercahaya
Xena,Khodam Katak Hijau
Yana,Khodam Tikus Pelompat
Yusuf,Khodam Harimau Kecil
Elisa,Khodam Katak Merah
Cinta,Khodam Katak Kecil
Joko,Khodam Serigala Hitam
Elang,Khodam Katak Hitam
Yana,Khodam Lebah Besar
Wina,Khodam Jangkrik Berirama
Fina,Khodam Kelinci Biru
Xiomara,Khodam Kelinci Biru
Lina,Khodam Tupai Penari
Hendra,Khodam Katak Kecil
Kartika,Khodam Kelinci Emas
Qory,Khodam Ular Hijau
Rosa,Khodam Serigala Besar
Lia,Khodam Burung Hantu
Qory,Khodam Naga Air
Nando,Khodam Singa Besar
Elisa,Khodam Kelinci Besar
Ahmad,Khodam Kuda Hijau
Faisal,Khodam Singa Biru
Ali,Khodam Domba Emas
Kartika,Khodam Kelinci Hitam
Vina,Khodam Laba-laba Berpendar
Ayu,Khodam Burung Merah
Koko,Khodam Ayam Petarung
Taufik,Khodam Kelinci Merah
Farah,Khodam Kelinci Emas
Nani,Khodam Ular Pelangi
Irfan,Khodam Harimau Api
Citra,Khodam Bebek Berbulu Warna-warni
Yola,Khodam Naga Merah
Hafiz,Khodam Kuda Terbang
Citra,Khodam Tikus Api
Xaverius,Khodam Katak Api
Farah,Khodam Harimau Putih
Elisa,Khodam Singa Api
Kirana,Khodam Gajah Mini
Farah,Khodam Kupu-kupu Merah
Dewi,Khodam Burung Berkicau
Farah,Khodam Belalang Emas
Yoga,Khodam Harimau Hijau
Hana,Khodam Harimau Hijau
Beni,Khodam Kucing Ajaib
Sandi,Khodam Tikus Kecil
Kirana,Khodam Laba-laba Berpendar
Yusuf,Khodam Burung Berkicau
Erwin,Khodam Naga Merah
Jamil,Khodam Singa Kecil
Gita,Khodam Naga Kecil
Olga,Khodam Katak Merah
Johan,Khodam Laba-laba Berpendar
Elisa,Khodam Serigala Besar
Citra,Khodam Harimau Terbang
Ilham,Khodam Singa Besar
Dodo,Khodam Ular Hitam
Farah,Khodam Katak Bersinar
Imam,Khodam Bebek Berbulu Warna-warni
Naufal,Khodam Singa Besar
Mila,Khodam Ular Pelangi
Mita,Khodam Kelinci Merah
Mita,Khodam Serigala Hijau
Zeni,Khodam Tikus Pelompat
Usman,Khodam Ular Pelangi
Farah,Khodam Katak Hijau
Tomi,Khodam Kura-kura Bersayap
Bambang,Khodam Ular Merah
Eko,Khodam Kuda Hijau
Sinta,Khodam Katak Kecil
Umar,Khodam Gajah Biru
Umar,Khodam Ayam Petarung
Sinta,Khodam Kelinci Emas
Fajar,Khodam Kodok Berwarna
Bella,Khodam Kelinci Besar
Omar,Khodam Tikus Api
Sandi,Khodam Tikus Biru
Vega,Khodam Singa Air
Faisal,Khodam Naga Hitam
Irfan,Khodam Ular Biru
Tomi,Khodam Ikan Terbang
Yusuf,Khodam Domba Emas
Kiki,Khodam Serigala Putih
Putri,Khodam Kelinci Hijau
Eko,Khodam Katak Bersinar
Nina,Khodam Serigala Api
Tina,Khodam Gajah Mini
Putra,Khodam Serigala Hijau
Elisa,Khodam Kelinci Biru
Yola,Khodam Kelinci Hijau
Melati,Khodam Singa Api
Oka,Khodam Ular Biru
Lukas,Khodam Semut Raksasa
Irfan,Khodam Serigala Besar
Made,Khodam Kuda Biru
Sari,Khodam Singa Api
Kiki,Khodam Harimau Api
Elang,Khodam Panda Kecil
Citra,Khodam Kelinci Kecil
Naufal,Khodam Serigala Berbintang
Ilham,Khodam Belalang Emas
Widya,Khodam Naga Kecil
Johan,Khodam Harimau Kecil
Lina,Khodam Naga Kecil
Yola,Khodam Gajah Mini
Gandi,Khodam Tikus Pelompat
Gita,Khodam Tikus Biru
Bella,Khodam Ular Hijau
Putra,Khodam Buaya Biru
Johan,Khodam Bebek Hijau
Citra,Khodam Singa Kecil
Cinta,Khodam Laba-laba Berpendar
Genta,Khodam Serigala Kecil
Cahya,Khodam Ular Biru
Zeni,Khodam Tikus Putih
Wina,Khodam Tikus Hijau
Lila,Khodam Burung Berkicau
Beni,Khodam Singa Air
Melati,Khodam Buaya Biru
Helga,Khodam Kuda Air
Opik,Khodam Naga Kecil
Yusuf,Khodam Katak Bersinar
Lila,Khodam Katak Merah
Xiomara,Khodam Burung Berkicau
Prasetyo,Khodam Tikus Air
Fina,Khodam Katak Hijau
Fahmi,Khodam Katak Kecil
Erwin,Khodam Naga Hijau
Ujang,Khodam Katak Bersinar
Faisal,Khodam Rusa Berbunga
Nina,Khodam Kelinci Hijau
Xena,Khodam Lebah Besar
Ali,Khodam Singa Biru
Indra,Khodam Kelinci Emas
Indra,Khodam Tikus Pelompat
Eko,Khodam Ular Emas
Elisa,Khodam Naga Merah
Xaverius,Khodam Kuda Berkilau
Kartika,Khodam Ular Hijau
Karta,Khodam Belalang Emas
Nina,Khodam Naga Merah
Bambang,Khodam Kuda Terbang
Rara,Khodam Kelinci Hitam
Ujang,Khodam Gajah Biru
Yola,Khodam Tikus Air
Zeni,Khodam Kuda Air
Tomi,Khodam Ular Kecil
Zul,Khodam Ular Emas
Zahra,Khodam Katak Api
Rosa,Khodam Semut Raksasa
Naufal,Khodam Naga Merah
Elisa,Khodam Naga Hijau
Beni,Khodam Katak Kecil
Beni,Khodam Serigala Hijau
Yola,Khodam Ular Hitam
Kiki,Khodam Singa Hitam
Gina,Khodam Burung Hantu
Darma,Khodam Tikus Air
Dewi,Khodam Tikus Besar
Fahmi,Khodam Serigala Hitam
Clara,Khodam Ular Kecil
Erwin,Khodam Kuda Hijau
Xiomara,Khodam Bebek Hijau
Eka,Khodam Kelinci Bersepatu
Juna,Khodam Burung Hantu
Rizal,Khodam Singa Besar
Bagus,Khodam Tupai Penari
Yana,Khodam Singa Pencium Bunga
Budi,Khodam Ayam Petarung
Eko,Khodam Singa Hijau
Fahmi,Khodam Kelinci Kecil
Xiomara,Khodam Tikus Pelompat
Veronica,Khodam Tikus Kecil
Ika,Khodam Serigala Berbintang
Ayu,Khodam Harimau Biru
Elisa,Khodam Jangkrik Berirama
Bagus,Khodam Kelinci Merah
Wina,Khodam Jangkrik Berirama
Ayu,Khodam Ular Emas
Dewi,Khodam Tikus Hitam
Zahra,Khodam Singa Api
Xaverius,Khodam Ular Biru
Pandu,Khodam Kelinci Emas
Ika,Khodam Ular Kecil
Rian,Khodam Serigala Hijau
Nadia,Khodam Katak Air
Rika,Khodam Kelinci Hitam
Umar,Khodam Serigala Hitam
Imam,Khodam Jangkrik Berirama
Ilham,Khodam Singa Air
Koko,Khodam Harimau Terbang
Widya,Khodam Serigala Biru
Wira,Khodam Katak Bersinar
Olga,Khodam Singa Biru
Yoga,Khodam Ikan Terbang
Lila,Khodam Harimau Biru
Vero,Khodam Harimau Terbang
Umar,Khodam Katak Hitam
Tina,Khodam Tikus Api
Suci,Khodam Kuda Laut Menari
Pandu,Khodam Singa Besar
Zaki,Khodam Kuda Hijau
Hadi,Khodam Kelinci Kecil
Naufal,Khodam Kelinci Emas
Rika,Khodam Harimau Hijau
Lia,Khodam Burung Berkicau
Uci,Khodam Ular Merah
Wulan,Khodam Ular Kecil
Mila,Khodam Tupai Penari
Nando,Khodam Belalang Emas
Galih,Khodam Harimau Putih
Helga,Khodam Semut Raksasa
Elang,Khodam Kuda Biru
Johan,Khodam Buaya Pemintal
Cinta,Khodam Kuda Laut Menari
Dewi,Khodam Rusa Berbunga
Xander,Khodam Ikan Terbang
Zahra,Khodam Serigala Hijau
Johan,Khodam Serigala Hijau
Beni,Khodam Tupai Penari
Yoga,Khodam Tikus Api
Xaverius,Khodam Singa Hijau
Yoga,Khodam Kelinci Besar
Vicky,Khodam Kuda Berkilau
Dewi,Khodam Kuda Biru
Mila,Khodam Anjing Berbulu Emas
